label,SR_B5,SR_B6,SR_B7,NDVI,EVI,NBR,NDWI
1,0.1832812428474426,0.132750004529953,0.0850787460803985,0.5402159094810486,0.243617907166481,0.1633577197790146,-0.5488796234130859
1,0.1428699940443039,0.1175424978137016,0.072222501039505,0.5335363745689392,0.1976338475942611,0.0972591415047645,-0.5447075366973877
1,0.1394875049591064,0.0946900025010109,0.0656087547540664,0.5671075582504272,0.2109216600656509,0.197190448641777,-0.5764535665512085
1,0.1566199958324432,0.0946900025010109,0.0555575005710125,0.7124759554862976,0.2738381326198578,0.2585459351539612,-0.6543879508972168
1,0.1651725023984909,0.1004374995827674,0.0967800021171569,0.6412845253944397,0.2628243863582611,0.2415289580821991,-0.6305787563323975
1,0.226524993777275,0.2409212589263916,0.1701637506484985,0.3946092128753662,0.2322271168231964,-0.0371306017041206,-0.4453716278076172
1,0.1717587560415268,0.1004649996757507,0.0672862529754638,0.6230003833770752,0.2619293332099914,0.2650319039821625,-0.6190633773803711
1,0.1581050008535385,0.1821262538433075,0.212761253118515,0.3643403351306915,0.1636607199907302,-0.0752832889556884,-0.4176395237445831
1,0.1529075056314468,0.1441349983215332,0.1024174988269805,0.517014741897583,0.2086499035358429,0.0295328348875045,-0.5085772275924683
1,0.1230150014162063,0.1208700016140937,0.1024449989199638,0.4643553495407104,0.1531526744365692,0.0087951282039284,-0.5105912685394287
1,0.194762498140335,0.1146825030446052,0.0729100033640861,0.6927957534790039,0.3055201172828674,0.2587858736515045,-0.6869491934776306
1,0.1258475035429,0.1485075056552887,0.1531549990177154,0.2619770169258117,0.1046589910984039,-0.0825937241315841,-0.356224924325943
1,0.1276624947786331,0.114655002951622,0.1098975017666816,0.4004799127578735,0.1464746594429016,0.0536795407533645,-0.4661632478237152
1,0.1128949970006942,0.1063499972224235,0.0797574967145919,0.3758664131164551,0.1244368925690651,0.0298524480313062,-0.4345208704471588
1,0.2178899943828582,0.1896750032901764,0.1320624947547912,0.5031042695045471,0.265822023153305,0.0692282021045684,-0.5035321116447449
1,0.2030950039625167,0.1607449948787689,0.1024174988269805,0.6209022402763367,0.2892312705516815,0.1163973435759544,-0.604526937007904
1,0.0811875015497207,0.069032497704029,0.0475274994969368,0.4154335558414459,0.1015897989273071,0.0809146836400032,-0.4473537802696228
1,0.056657500565052,0.0676575005054473,0.0706000030040741,0.1625032275915146,0.0355665348470211,-0.0884848982095718,-0.2346035689115524
1,0.1130324974656105,0.147599995136261,0.1315950006246566,0.1724299043416977,0.0662690922617912,-0.1326292753219604,-0.271635502576828
1,0.0887774974107742,0.0906474962830543,0.0762374997138977,0.3167096078395843,0.0882807672023773,-0.0104221757501363,-0.3826924860477447
1,0.0658975020051002,0.1618449985980987,0.4723474979400635,0.1893513798713684,0.0468270517885685,-0.4212981462478637,-0.2630091309547424
1,0.1031050011515617,0.1175699979066848,0.1143800020217895,0.2494357526302337,0.0834736675024032,-0.0655488669872284,-0.3377012908458709
1,0.1153837516903877,0.0974262505769729,0.0761274993419647,0.4094391763210296,0.1338799744844436,0.0821310505270958,-0.4259496331214905
1,0.1758974939584732,0.1651175022125244,0.1093199998140335,0.4912254512310028,0.2136093527078628,0.0316114872694015,-0.5488195419311523
1,0.062789998948574,0.0680425018072128,0.0650174990296363,0.2468228638172149,0.0543720126152038,-0.0401467755436897,-0.304896742105484
1,0.1030362546443939,0.1206362545490264,0.126713752746582,0.1863325536251068,0.0641713142395019,-0.0855886116623878,-0.2526216208934784
1,0.1174187511205673,0.1200449988245964,0.10258249938488,0.3904394507408142,0.1341262757778167,0.0020165427122265,-0.4329639971256256
1,0.2501887381076813,0.1794725060462951,0.1111074984073638,0.6030215620994568,0.3574337959289551,0.1829456984996795,-0.6052129864692688
1,0.3262675106525421,0.3531624972820282,0.2313099950551986,0.4840037822723388,0.3422065079212188,-0.0395846329629421,-0.5189627408981323
1,0.1343725025653839,0.1237712502479553,0.0961750000715255,0.4214914739131927,0.1609059572219848,0.0356838256120681,-0.4577686190605163
1,0.1641687452793121,0.1270574927330017,0.0867562517523765,0.5378783941268921,0.2153063118457794,0.1257996559143066,-0.5492656230926514
1,0.1805450022220611,0.1661349982023239,0.1139537543058395,0.4507796764373779,0.2105068862438202,0.0375945791602134,-0.4815903604030609
1,0.101620003581047,0.080664999783039,0.0596274994313716,0.4376967549324035,0.1268577724695205,0.1149573624134063,-0.5385605692863464
1,0.2065737545490265,0.163866251707077,0.1007812470197677,0.5680947303771973,0.2764434218406677,0.1127396002411842,-0.5789820551872253
